key,source,local_id,last_updated,url,title,authors_list,doi,publication_year
"researchgraph.org/inspirehep/Chai:2014aua","inspirehep.net","Chai:2014aua","20150908043945.0","https://inspirehep.net/record/Chai:2014aua","Searching Signals in Chinese Ancient Records for the $^{14}$C Increases in AD 774-775 and in AD 992-993","Chai. Ya-Ting , Zou. Yuan-Chuan","10.1088/1674--4527/15/9/007"
"researchgraph.org/inspirehep/Oltean:2014bua","inspirehep.net","Oltean:2014bua","20151109131302.0","https://inspirehep.net/record/Oltean:2014bua","Cosmological Perturbations in Antigravity","Oltean. Marius , Brandenberger. Robert","10.1103/PhysRevD.90.083505","2014-10-03"
"researchgraph.org/inspirehep/Kafexhiu:2014cua","inspirehep.net","Kafexhiu:2014cua","20170221141922.0","https://inspirehep.net/record/Kafexhiu:2014cua","Parametrization of gamma-ray production cross-sections for pp interactions in a broad proton energy range from the kinematic threshold to PeV energies","Kafexhiu. Ervin , Aharonian. Felix , Taylor. Andrew M. , Vila. Gabriela S.","10.1103/PhysRevD.90.123014","2014-12-29"
"researchgraph.org/inspirehep/Iosif:2014dua","inspirehep.net","Iosif:2014dua","20170221141923.0","https://inspirehep.net/record/Iosif:2014dua","On the accuracy of the IWM-CFC approximation in differentially rotating relativistic stars","Iosif. Panagiotis , Stergioulas. Nikolaos","10.1007/s10714-014-1800-5","2014-09-17"
"researchgraph.org/inspirehep/Davis:2014eua","inspirehep.net","Davis:2014eua","20160919184407.0","https://inspirehep.net/record/Davis:2014eua","Implications of the Oklo phenomenon in a chiral approach to nuclear matter","Davis. Edward D.","10.1007/s00601-014-0909-0","2014-09-30"
"researchgraph.org/inspirehep/Espinosa:2014fua","inspirehep.net","Espinosa:2014fua","20170221141923.0","https://inspirehep.net/record/Espinosa:2014fua","Interacting LAEs at z = 5.1. Episodic star formation in a group of LAEs at z= 5.07","Rodriguez Espinosa. J. M. , Gonzalez-Martin. O. , Rodriguez. N. Castro , Perez-Gonzalez. P.G. , Mas-Hesse. J.M. , Munoz-Tunon. C. , Cava. A. , Cardiel. N. , Lavers. A. Cabrera , Gallego. J. , Caballero. A. Hernan , Ruiz. N. Herrera","10.1093/mnrasl/slu099"
"researchgraph.org/inspirehep/Atreya:2014gua","inspirehep.net","Atreya:2014gua","20170221141923.0","https://inspirehep.net/record/Atreya:2014gua","Spontaneous CP violating quark scattering from asymmetric Z(3) interfaces in the quark-gluon plasma","Atreya. Abhishek , Bagchi. Partha , Das. Arpan , Srivastava. Ajit M.","10.1103/PhysRevD.90.125016","2014-12-17"
"researchgraph.org/inspirehep/An:2014hua","inspirehep.net","An:2014hua","20170221141923.0","https://inspirehep.net/record/An:2014hua","In-flight PSF calibration of the NuSTAR hard X-ray optics","An. Hongjun , Madsen. Kristin K. , Westergaard. Niels J. , Boggs. Steven E. , Christensen. Finn E. , Craig. William W. , Hailey. Charles J. , Harrison. Fiona A. , Stern. Daniel K. , Zhang. William W.","10.1117/12.2055481","2014-07-24"
"researchgraph.org/inspirehep/Nemmen:2014iua","inspirehep.net","Nemmen:2014iua","20170221141924.0","https://inspirehep.net/record/Nemmen:2014iua","On The Efficiency of Jet Production in Radio Galaxies","Nemmen. Rodrigo S. , Tchekhovskoy. Alexander","10.1093/mnras/stv260","2015-05-01"
"researchgraph.org/inspirehep/Smith:2014jua","inspirehep.net","Smith:2014jua","20170221141924.0","https://inspirehep.net/record/Smith:2014jua","Luminous Blue Variables are Antisocial: Their Isolation Implies that they are Kicked Mass Gainers in Binary Evolution","Smith. Nathan , Tombleson. Ryan","10.1093/mnras/stu2430","2015-02-11"
"researchgraph.org/inspirehep/Chandra:2014kua","inspirehep.net","Chandra:2014kua","20170221141924.0","https://inspirehep.net/record/Chandra:2014kua","Understanding the nature of the blazar CGRaBS~J0211$+$1051","Chandra. Sunil , Baliyan. Kiran S , Ganesh. Shashikiran , Foschini. Luigi","10.1088/0004-637X/791/2/85","2014"
