key,source,local_id,last_updated,full_name,first_name,last_name,orcid
"researchgraph.org/inspirehep/1041777","inspirehep.net","1041777","20140813154923.0","Ryabov, V.V.","Ryabov","V.V."
"researchgraph.org/inspirehep/1019152","inspirehep.net","1019152","20160404111620.0","Miller, Roger H.","Miller","Roger H."
