from_key,to_uri,label
"researchgraph.org/inspirehep/Vakhrushin:1977bz","researchgraph.org/inspirehep/1041777","relatedTo"
"researchgraph.org/inspirehep/Miller:1963cb","researchgraph.org/inspirehep/1019152","relatedTo"
